,Percentile,Clusters,Type,MCP_PercExtr,MCP,MCP_UpperLim,TotalPercSign,MeanCondProbSign,PercentSign,Area,Variables
2,P99,Clusters_11,MedExt_SLP~T850,22.0,2.9982363315696645,2.667814113597246,45.33333333333333,2.559166483846825,99.17067752684191,MedExt,SLP~T850
0,P95,Clusters_12,MedExt_SLP~T850,17.489986648865152,13.340935005701255,11.844240129799893,48.99866488651535,10.61169479140762,99.95557201036654,MedExt,SLP~T850
1,P97,Clusters_12,MedExt_SLP~T850,18.666666666666668,8.476190476190476,7.5175770686857755,47.55555555555555,6.828411775410062,99.94816734542762,MedExt,SLP~T850
2,P99,Clusters_12,MedExt_SLP~T850,20.666666666666668,3.118503118503119,2.7777777777777777,44.666666666666664,2.661237068016729,99.06701221769715,MedExt,SLP~T850
0,P95,Clusters_4,MedExt_SLP~Z500,38.31775700934579,7.951143168209036,7.401774397972116,40.58744993324432,7.866086009798584,97.03072935949648,MedExt,SLP~Z500
1,P97,Clusters_4,MedExt_SLP~Z500,39.77777777777778,4.953728905824714,4.613434727503169,41.77777777777778,4.899292324442025,94.47611995557202,MedExt,SLP~Z500
2,P99,Clusters_4,MedExt_SLP~Z500,43.333333333333336,1.8236254763200872,1.6983523447401776,44.666666666666664,1.8133462282398451,82.07330618289522,MedExt,SLP~Z500
0,P95,Clusters_7,MedExt_SLP~Z500,26.168224299065418,10.108303249097473,9.238542042583903,45.52736982643525,9.32964754664824,99.27434283598667,MedExt,SLP~Z500
1,P97,Clusters_7,MedExt_SLP~Z500,27.555555555555557,6.357982031789911,5.826859045504994,45.77777777777778,5.886939571150098,98.61532765642355,MedExt,SLP~Z500
2,P99,Clusters_7,MedExt_SLP~Z500,31.333333333333336,2.3014440433213,2.108768035516093,42.66666666666667,2.195121951219512,94.33543132173268,MedExt,SLP~Z500
0,P95,Clusters_8,MedExt_SLP~Z500,23.49799732977303,10.89619600257898,9.917840375586854,45.39385847797063,9.551375092046364,99.0373935579415,MedExt,SLP~Z500
1,P97,Clusters_8,MedExt_SLP~Z500,24.666666666666668,6.771545827633379,6.168958742632613,45.55555555555556,6.0196268737194005,98.62273232136246,MedExt,SLP~Z500
2,P99,Clusters_8,MedExt_SLP~Z500,27.333333333333332,2.4199288256227756,2.200392927308448,43.33333333333333,2.256608639587363,94.95001851166235,MedExt,SLP~Z500
0,P95,Clusters_9,MedExt_SLP~Z500,21.762349799732977,11.674449633088726,10.538116591928251,43.524699599465954,9.935905332136103,99.76305072195483,MedExt,SLP~Z500
1,P97,Clusters_9,MedExt_SLP~Z500,22.88888888888889,7.291666666666667,6.594071385359952,43.111111111111114,6.2818820583271755,99.55572010366531,MedExt,SLP~Z500
2,P99,Clusters_9,MedExt_SLP~Z500,25.333333333333336,2.6367831245880025,2.3880597014925375,40.0,2.387241911938345,96.91965938541281,MedExt,SLP~Z500
0,P95,Clusters_10,MedExt_SLP~Z500,20.427236315086784,12.149532710280374,10.936205468102735,44.45927903871829,10.165020892462945,99.92595335061088,MedExt,SLP~Z500
1,P97,Clusters_10,MedExt_SLP~Z500,21.555555555555557,7.678410117434507,6.924643584521386,43.42984409799555,6.516366682275969,99.86671603109959,MedExt,SLP~Z500
2,P99,Clusters_10,MedExt_SLP~Z500,24.0,2.781954887218045,2.5118805159538358,40.66666666666667,2.4967500718446978,98.05257312106626,MedExt,SLP~Z500
0,P95,Clusters_11,MedExt_SLP~Z500,18.82510013351135,12.886597938144329,11.52073732718894,43.79172229639519,10.458914286787326,99.88152536097742,MedExt,SLP~Z500
1,P97,Clusters_11,MedExt_SLP~Z500,20.0,8.16542948038176,7.332796132151491,42.888888888888886,6.752136752136752,99.77045538689374,MedExt,SLP~Z500
2,P99,Clusters_11,MedExt_SLP~Z500,22.666666666666664,2.9692470837751856,2.6591458501208702,40.0,2.6111399852731445,98.68937430581266,MedExt,SLP~Z500
0,P95,Clusters_12,MedExt_SLP~Z500,17.356475300400533,13.387241689128482,11.916264090177133,42.456608811749,10.591422998078016,99.88893002591632,MedExt,SLP~Z500
1,P97,Clusters_12,MedExt_SLP~Z500,18.444444444444443,8.508845829823084,7.568438003220612,41.77777777777777,6.881263390697353,99.80007404664939,MedExt,SLP~Z500
2,P99,Clusters_12,MedExt_SLP~Z500,20.666666666666668,3.117206982543641,2.7752081406105455,39.33333333333333,2.691067425361783,98.70418363569048,MedExt,SLP~Z500
